Open,High,Low,Close,Adj Close,Volume
17.427406311035156,17.539480209350586,16.82628631591797,16.958736419677734,16.958736419677734,1315210
17.024961471557617,17.78400421142578,16.989301681518555,17.43759536743164,17.43759536743164,935762
17.340805053710938,17.473255157470703,17.198165893554688,17.28986167907715,17.28986167907715,1167396
17.23382568359375,17.371370315551758,16.897605895996094,17.269485473632812,17.269485473632812,671150
17.137035369873047,17.28986167907715,16.729496002197266,16.91798210144043,16.91798210144043,915347
16.821191787719727,17.544574737548828,16.821191787719727,17.519102096557617,17.519102096557617,319380
17.361181259155273,17.539480209350586,17.208354949951172,17.524198532104492,17.524198532104492,406537
17.371370315551758,17.794193267822266,17.356088638305664,17.544574737548828,17.544574737548828,365314
17.447784423828125,17.738155364990234,17.447784423828125,17.661741256713867,17.661741256713867,384355
17.57513999938965,17.707590103149414,17.371370315551758,17.478349685668945,17.478349685668945,255386
17.310239791870117,17.447784423828125,17.269485473632812,17.396841049194336,17.396841049194336,154096
17.396841049194336,17.758533477783203,17.371370315551758,17.707590103149414,17.707590103149414,348433
17.794193267822266,17.794193267822266,17.417219161987305,17.539480209350586,17.539480209350586,221426
17.49363136291504,17.707590103149414,17.457971572875977,17.539480209350586,17.539480209350586,187467
17.524198532104492,17.58023452758789,17.391746520996094,17.559856414794922,17.559856414794922,165285
17.54966926574707,17.86551284790039,17.524198532104492,17.86551284790039,17.86551284790039,428719
18.079469680786133,18.35965347290039,17.64136505126953,18.23739242553711,18.23739242553711,264024
18.23739242553711,18.487009048461914,18.10494041442871,18.38512420654297,18.38512420654297,120136
18.323993682861328,18.4971981048584,18.27305030822754,18.344371795654297,18.344371795654297,160770
18.293428421020508,18.568517684936523,18.0998477935791,18.466632843017578,18.466632843017578,320558
18.466632843017578,18.75700569152832,18.344371795654297,18.690778732299805,18.690778732299805,171566
18.726438522338867,18.92511558532715,18.492103576660156,18.7824764251709,18.7824764251709,318399
18.909832000732422,19.001527786254883,18.802852630615234,18.884361267089844,18.884361267089844,274624
18.930208206176758,19.261335372924805,18.858888626098633,19.261335372924805,19.261335372924805,273250
19.296993255615234,19.39887809753418,19.205297470092773,19.347936630249023,19.347936630249023,290524
19.322465896606445,19.465103149414062,19.07794189453125,19.225675582885742,19.225675582885742,241253
19.33265495300293,19.378501892089844,19.103412628173828,19.144166946411133,19.144166946411133,169603
19.215486526489258,19.23076820373535,18.772287368774414,19.16963768005371,19.16963768005371,200422
19.001527786254883,19.16454315185547,18.70606231689453,18.976057052612305,18.976057052612305,206115
18.884361267089844,19.052471160888672,18.767192840576172,18.894548416137695,18.894548416137695,103843
18.81813621520996,18.960773468017578,18.81813621520996,18.950586318969727,18.950586318969727,167248
18.981151580810547,19.128883361816406,18.87417221069336,19.057565689086914,19.057565689086914,174118
19.144166946411133,19.144166946411133,18.721345901489258,18.87417221069336,18.87417221069336,200226
18.84360694885254,18.84360694885254,18.476821899414062,18.537952423095703,18.537952423095703,204937
18.512481689453125,18.61945915222168,18.446256637573242,18.481914520263672,18.481914520263672,184522
18.53285789489746,18.53285789489746,18.283239364624023,18.32908821105957,18.32908821105957,129558
18.293428421020508,18.339277267456055,18.0998477935791,18.313804626464844,18.313804626464844,210826
18.38512420654297,18.456443786621094,18.339277267456055,18.425878524780273,18.425878524780273,290328
18.339277267456055,18.466632843017578,18.339277267456055,18.456443786621094,18.456443786621094,153899
18.45134925842285,19.16454315185547,18.38003158569336,18.81813621520996,18.81813621520996,158414
18.76209831237793,18.807947158813477,18.553234100341797,18.665307998657227,18.665307998657227,130736
18.425878524780273,18.716251373291016,18.21701431274414,18.492103576660156,18.492103576660156,149188
18.41568946838379,18.425878524780273,18.160978317260742,18.339277267456055,18.339277267456055,131325
18.166072845458984,18.35965347290039,17.98267936706543,18.07437515258789,18.07437515258789,108358
17.967397689819336,18.492103576660156,17.8145694732666,18.339277267456055,18.339277267456055,277765
18.430973052978516,18.53285789489746,18.21192169189453,18.29852294921875,18.29852294921875,180400
18.24248504638672,18.84870147705078,18.24248504638672,18.5939884185791,18.5939884185791,190607
18.522668838500977,18.970962524414062,18.441160202026367,18.833417892456055,18.833417892456055,199441
18.6500244140625,18.690778732299805,17.524198532104492,17.901172637939453,17.901172637939453,557688
17.829851150512695,18.487009048461914,17.356088638305664,18.023433685302734,18.023433685302734,329980
17.95211410522461,18.75700569152832,17.95211410522461,18.39021873474121,18.39021873474121,258331
18.39021873474121,18.405502319335938,17.92154884338379,18.196638107299805,18.196638107299805,297002
18.07437515258789,18.767192840576172,17.80947494506836,18.583799362182617,18.583799362182617,183541
18.400407791137695,18.6500244140625,18.191543579101562,18.32908821105957,18.32908821105957,132503
18.17626190185547,18.487009048461914,18.1558837890625,18.436067581176758,18.436067581176758,141140
18.441160202026367,18.492103576660156,18.196638107299805,18.257768630981445,18.257768630981445,120724
18.349464416503906,18.349464416503906,18.145694732666016,18.313804626464844,18.313804626464844,265398
18.344371795654297,18.466632843017578,18.227203369140625,18.283239364624023,18.283239364624023,117191
18.222108840942383,18.35455894470215,18.206825256347656,18.32908821105957,18.32908821105957,137017
18.262863159179688,18.293428421020508,17.86041831970215,18.048904418945312,18.048904418945312,302891
18.09475326538086,18.09475326538086,17.74834442138672,17.95720863342285,17.95720863342285,251853
18.0030574798584,18.064186096191406,17.845134735107422,18.018339157104492,18.018339157104492,186681
18.079469680786133,18.079469680786133,17.733062744140625,17.773815155029297,17.773815155029297,228886
17.69230842590332,17.880794525146484,17.58023452758789,17.77890968322754,17.77890968322754,253620
